place_id,installed,temporary,install_date,removal_date,common_name,locked,terminal_name
BikePoints_254,true,false,1279700940000,,"Chadwell Street, Angel",false,003471
BikePoints_255,true,false,1279702560000,,"Clifton Road, Maida Vale",false,001147
BikePoints_256,true,false,1279708020000,,"Houghton Street, Strand",false,003484
BikePoints_257,true,false,1279708140000,,"Westminster University, Marylebone",false,001194
BikePoints_258,true,false,1279708380000,,"Kensington Gore, Knightsbridge",false,001193
BikePoints_259,true,false,1279709100000,,"Bourne Street, Belgravia",false,001180
BikePoints_260,true,false,1279711020000,,"Broadwick Street, Soho",false,003489
BikePoints_261,true,false,1279711200000,,"Princes Square, Bayswater",false,003491
BikePoints_262,true,false,1279711620000,,"LSBU (Borough Road), Elephant & Castle",false,001095
BikePoints_263,true,false,1279712160000,,"St. Mary Axe, Aldgate",false,001184
BikePoints_264,true,false,1279712520000,,"Tysoe Street, Clerkenwell",false,001146
BikePoints_265,true,false,1279714320000,,"Southwick Street, Paddington",false,003490
BikePoints_266,true,false,1279714560000,,"Queen's Gate (North), Kensington",false,001204
BikePoints_267,true,false,1279714740000,,"Regency Street, Westminster",false,001155
BikePoints_268,true,false,1279714920000,,"Belgrave Road, Victoria",false,001087
BikePoints_269,true,false,1279715100000,,"Empire Square, The Borough",false,001209
BikePoints_270,true,false,1279720380000,,"Kennington Lane Rail Bridge, Vauxhall",false,001190
BikePoints_271,true,false,1279720920000,,"London Zoo,  The Regent's Park",false,001136
BikePoints_272,true,false,1279721220000,,"Baylis Road, Waterloo",false,001133
BikePoints_273,true,false,1279721400000,,"Belvedere Road 1, South Bank",false,001186
BikePoints_274,true,false,1279721580000,,"Warwick Road, Olympia",false,001134
BikePoints_275,true,false,1279721880000,,"Barbican Centre, Barbican",false,001191
BikePoints_276,true,false,1279723200000,,"Lower Thames Street, Monument",false,001098
BikePoints_277,true,false,1279723320000,,"Kensington Church Street, Kensington",false,001143
BikePoints_278,true,false,1279723500000,,"Tooley Street, Bermondsey",false,001142
BikePoints_279,true,false,1279723740000,,"North Wharf Road, Paddington",false,001108
BikePoints_280,true,false,1279726440000,,"Royal Avenue 2, Chelsea",false,003462
BikePoints_281,true,false,1279726620000,,"Smith Square, Westminster",false,003480
BikePoints_282,true,false,1279726980000,,"Royal London Hospital, Whitechapel",false,001077
